,Fermi_energy,C-C-C_C-sp2-C:error,C-O_sp3-strained:mean_value,O_concentration,prox_density_ether_std,ether_concentration,sp2-like_n11_m1,sp2-like_n7_m1,sp2-like_n10_m7,H-O_coordination_number,Ixx_bar_O_area
0,-4.6472,1.57,0.148,0.1162791,0.205384726,0.12195122,0.0,0.0,0.14,0.42,0.001548125
1,-4.6371,1.71,0.1474,0.1140351,0.2038294,0.12345679,0.0,0.0,0.143,0.41,0.001084599
2,-4.6591,1.71,0.1479,0.1162791,0.184338325,0.12195122,0.0,0.0,0.134,0.42,0.001244553
3,-4.7337,1.45,0.1476,0.1162791,0.350903734,0.12195122,0.0,0.003,0.16,0.42,0.001431519
4,-4.5991,1.52,0.148,0.1162791,0.279377851,0.12195122,0.0,0.0,0.151,0.42,0.001145114
5,-4.6763,1.52,0.1471,0.1162791,0.258453434,0.12195122,0.0,0.0,0.177,0.42,0.001312985
6,-4.6188,1.59,0.1477,0.1162791,0.240798329,0.12195122,0.0,0.003,0.157,0.42,0.001425973
7,-4.6888,1.45,0.1472,0.1162791,0.275623191,0.12195122,0.0,0.0,0.148,0.42,0.001496952
8,-4.7215,1.36,0.1474,0.1162791,0.29681273,0.12195122,0.0,0.0,0.166,0.42,0.001398212
9,-4.7062,1.76,0.1481,0.1162791,0.304138028,0.12195122,0.0,0.003,0.201,0.42,0.001358776
10,-4.6741,1.45,0.1478,0.1162791,0.213407629,0.12195122,0.0,0.003,0.16,0.42,0.001493527
11,-4.5869,1.88,0.1476,0.1162791,0.382216208,0.12195122,0.0,0.0,0.105,0.42,0.001523934
12,-4.6213,1.59,0.1481,0.1162791,0.264562379,0.12195122,0.0,0.0,0.163,0.42,0.001369987
13,-4.6809,1.61,0.1474,0.1162791,0.232460957,0.12195122,0.0,0.006,0.093,0.42,0.001303256
14,-4.7674,1.69,0.1464,0.1162791,0.217767261,0.12195122,0.0,0.006,0.125,0.42,0.001280193
15,-4.6198,1.6,0.1474,0.1162791,0.300959496,0.12195122,0.0,0.0,0.166,0.42,0.0014362
16,-4.7533,1.5,0.1482,0.1162791,0.301661567,0.12195122,0.0,0.0,0.198,0.42,0.001460086
17,-4.7157,1.79,0.1473,0.1162791,0.230159425,0.12195122,0.0,0.003,0.163,0.42,0.00110088
18,-4.5552,1.68,0.1477,0.1162791,0.243337694,0.12195122,0.0,0.0,0.154,0.42,0.001186802
19,-4.6876,1.49,0.1477,0.1162791,0.210011243,0.12195122,0.0,0.003,0.16,0.42,0.001204784
20,-4.8092,1.36,0.1471,0.1162791,0.135054868,0.12195122,0.0,0.003,0.134,0.42,0.001259191
21,-4.6379,1.42,0.1473,0.1162791,0.263194995,0.12195122,0.0,0.006,0.128,0.42,0.00137896
22,-4.7103,1.44,0.1475,0.1162791,0.314632575,0.12195122,0.0,0.0,0.174,0.42,0.001224324
23,-4.6562,1.42,0.1466,0.1162791,0.259252297,0.12195122,0.0,0.003,0.154,0.42,0.001342444
24,-4.6657,1.54,0.1475,0.1162791,0.15885007,0.12195122,0.006,0.003,0.16,0.42,0.001555652
25,-4.6731,1.41,0.1475,0.1162791,0.302609945,0.12195122,0.0,0.0,0.221,0.42,0.001238993
26,-4.6392,1.6,0.1479,0.1162791,0.284687247,0.12195122,0.0,0.0,0.137,0.42,0.00132867
27,-4.6865,1.64,0.1475,0.1162791,0.240977242,0.12195122,0.0,0.003,0.157,0.42,0.001540269
28,-4.6938,1.35,0.1472,0.1162791,0.256641273,0.12195122,0.0,0.009,0.093,0.42,0.001191311
29,-4.6966,1.49,0.1481,0.1162791,0.31401274,0.12195122,0.0,0.0,0.212,0.42,0.001361052
30,-4.6444,1.33,0.1479,0.1162791,0.228962262,0.12195122,0.0,0.003,0.119,0.42,0.001288334
31,-4.6504,1.43,0.1473,0.1162791,0.287977072,0.12195122,0.0,0.003,0.209,0.42,0.001408317
32,-4.7336,1.65,0.148,0.1162791,0.232241588,0.12195122,0.0,0.0,0.157,0.42,0.001384139
33,-4.5671,1.61,0.1476,0.1162791,0.222389574,0.12195122,0.0,0.0,0.177,0.42,0.001531417
34,-4.6161,2.03,0.1483,0.1162791,0.225748323,0.12195122,0.0,0.006,0.145,0.42,0.001135149
35,-4.7588,1.86,0.1466,0.1143695,0.381855875,0.135802469,0.0,0.0,0.167,0.4,0.0013367
36,-4.6365,1.65,0.1482,0.1162791,0.227616406,0.12195122,0.0,0.0,0.148,0.42,0.001190463
37,-4.666,1.87,0.148,0.1162791,0.304879953,0.12195122,0.0,0.0,0.154,0.42,0.001361621
38,-4.6312,1.66,0.1474,0.1162791,0.323562469,0.12195122,0.0,0.009,0.116,0.42,0.001270829
39,-4.5844,1.42,0.1483,0.1162791,0.300717344,0.12195122,0.0,0.0,0.183,0.42,0.00141398
40,-4.7571,1.73,0.1475,0.1162791,0.244628821,0.12195122,0.0,0.003,0.122,0.42,0.001437055
41,-4.6078,1.87,0.1479,0.1162791,0.215070586,0.12195122,0.0,0.0,0.108,0.42,0.001332921
42,-4.6551,1.99,0.1476,0.1162791,0.320523649,0.12195122,0.0,0.003,0.16,0.42,0.001323908
43,-4.7912,1.57,0.1471,0.1162791,0.289451638,0.12195122,0.0,0.009,0.116,0.42,0.001570309
44,-4.5766,1.49,0.1479,0.1162791,0.419047269,0.12195122,0.0,0.003,0.131,0.42,0.001450263
45,-4.6322,1.76,0.1481,0.1143695,0.223517334,0.135802469,0.0,0.012,0.117,0.4,0.001356165
46,-4.6841,1.56,0.1482,0.1162791,0.246519475,0.12195122,0.0,0.0,0.154,0.42,0.001331573
47,-4.6241,1.85,0.1481,0.1162791,0.247816495,0.12195122,0.0,0.0,0.119,0.42,0.001421547
48,-4.6133,1.66,0.1481,0.1162791,0.215279907,0.12195122,0.0,0.0,0.157,0.42,0.00122309
49,-4.5589,1.38,0.148,0.1162791,0.242459245,0.12195122,0.0,0.006,0.105,0.42,0.00146323
50,-4.6553,1.4,0.1475,0.1162791,0.256391171,0.12195122,0.0,0.003,0.151,0.42,0.001516126
51,-4.5748,1.62,0.1482,0.1162791,0.165677213,0.12195122,0.012,0.009,0.169,0.42,0.001546335
52,-4.5733,1.4,0.1477,0.1162791,0.346989273,0.12195122,0.0,0.0,0.198,0.42,0.001471093
53,-4.669,1.46,0.1476,0.1162791,0.252258861,0.12195122,0.012,0.006,0.177,0.42,0.001555317
54,-4.6717,1.57,0.1465,0.1162791,0.262075546,0.12195122,0.0,0.0,0.174,0.42,0.001419746
55,-4.6843,1.61,0.148,0.1143695,0.271784481,0.135802469,0.0,0.003,0.138,0.4,0.001387407
56,-4.6093,1.41,0.148,0.1162791,0.228548459,0.12195122,0.0,0.006,0.154,0.42,0.001221642
57,-4.6228,1.75,0.1478,0.1162791,0.216679693,0.12195122,0.0,0.003,0.157,0.42,0.001361093
58,-4.5874,1.51,0.1476,0.1162791,0.361194807,0.12195122,0.0,0.009,0.134,0.42,0.001444916
59,-4.6441,1.72,0.1483,0.1162791,0.282833463,0.12195122,0.0,0.003,0.174,0.42,0.001375058
60,-4.6758,1.42,0.1478,0.1162791,0.20079866,0.12195122,0.0,0.0,0.166,0.42,0.001312536
61,-4.6859,1.38,0.1474,0.1162791,0.269610177,0.12195122,0.0,0.003,0.157,0.42,0.001336008
62,-4.7375,1.82,0.1469,0.1162791,0.28752639,0.12195122,0.0,0.003,0.148,0.42,0.001303215
63,-4.6324,1.66,0.1469,0.1162791,0.319408365,0.12195122,0.0,0.0,0.148,0.42,0.001300431
64,-4.6505,1.82,0.1483,0.1162791,0.343988135,0.12195122,0.0,0.0,0.131,0.42,0.001429965
65,-4.7391,1.96,0.1474,0.1162791,0.325428287,0.12195122,0.0,0.003,0.148,0.42,0.001449396
66,-4.6652,1.95,0.1483,0.1162791,0.216936496,0.12195122,0.0,0.003,0.16,0.42,0.001549822
67,-4.6427,1.81,0.1475,0.1162791,0.238251334,0.12195122,0.0,0.0,0.128,0.42,0.001245177
68,-4.606,1.62,0.148,0.1162791,0.287175949,0.12195122,0.0,0.0,0.113,0.42,0.00161547
69,-4.6996,1.57,0.1476,0.1162791,0.255859863,0.12195122,0.0,0.0,0.163,0.42,0.001402172
70,-4.7714,1.67,0.1482,0.1162791,0.317080184,0.12195122,0.0,0.0,0.203,0.42,0.001284725
71,-4.5968,2.03,0.1485,0.1162791,0.281769577,0.12195122,0.0,0.003,0.099,0.42,0.001170124
72,-4.6256,1.62,0.147,0.1162791,0.24741793,0.12195122,0.0,0.006,0.145,0.42,0.001564984
73,-4.5705,1.83,0.1483,0.1162791,0.267755642,0.12195122,0.0,0.006,0.16,0.42,0.001284477
74,-4.6555,1.76,0.148,0.1162791,0.296529646,0.12195122,0.0,0.003,0.14,0.42,0.001542675
75,-4.6575,1.71,0.1484,0.1162791,0.241423276,0.12195122,0.0,0.006,0.166,0.42,0.001408883
76,-4.6956,1.59,0.1483,0.1162791,0.129712971,0.12195122,0.0,0.009,0.116,0.42,0.001308096
77,-4.5579,1.82,0.1476,0.1162791,0.330532624,0.12195122,0.0,0.003,0.163,0.42,0.001381762
78,-4.6517,1.51,0.1478,0.1162791,0.232927199,0.12195122,0.0,0.006,0.209,0.42,0.001266898
79,-4.5733,1.31,0.1479,0.1162791,0.230333552,0.12195122,0.0,0.006,0.157,0.42,0.001190507
80,-4.6705,1.57,0.1478,0.1162791,0.29941691,0.12195122,0.0,0.0,0.172,0.42,0.001514267
81,-4.7025,1.5,0.1478,0.1162791,0.273406054,0.12195122,0.0,0.0,0.186,0.42,0.001420699
82,-4.7063,1.59,0.1473,0.1162791,0.249287291,0.12195122,0.0,0.0,0.23,0.42,0.001421835
83,-4.6512,1.42,0.1478,0.1162791,0.213725184,0.12195122,0.0,0.006,0.14,0.42,0.001335119
84,-4.6576,1.51,0.1479,0.1162791,0.091518719,0.12195122,0.0,0.0,0.166,0.42,0.001310523
85,-4.6712,1.43,0.1479,0.1162791,0.24490377,0.12195122,0.0,0.0,0.169,0.42,0.001358498
86,-4.5728,1.54,0.1479,0.1162791,0.297077108,0.12195122,0.0,0.006,0.134,0.42,0.001493302
87,-4.7215,1.5,0.1472,0.1162791,0.166056113,0.12195122,0.0,0.006,0.128,0.42,0.001483479
88,-4.6213,1.57,0.1476,0.1162791,0.246910993,0.12195122,0.0,0.0,0.209,0.42,0.001536546
89,-4.6069,1.48,0.1477,0.1162791,0.331950045,0.12195122,0.0,0.006,0.096,0.42,0.001127598
90,-4.6006,1.63,0.1476,0.1162791,0.258578523,0.12195122,0.0,0.003,0.11,0.42,0.001093021
91,-4.6393,1.75,0.1474,0.1143695,0.360683581,0.135802469,0.0,0.006,0.158,0.4,0.001444028
92,-4.6909,1.95,0.1472,0.1162791,0.273760316,0.12195122,0.0,0.0,0.125,0.42,0.001466986
93,-4.659,1.73,0.148,0.1162791,0.304163227,0.12195122,0.0,0.0,0.125,0.42,0.001446991
94,-4.5731,1.66,0.1478,0.1162791,0.167740476,0.12195122,0.0,0.0,0.174,0.42,0.001351942
95,-4.5968,1.5,0.1477,0.1162791,0.278972345,0.12195122,0.0,0.0,0.195,0.42,0.001450625
96,-4.695,1.36,0.1475,0.1162791,0.149724151,0.12195122,0.0,0.012,0.16,0.42,0.001452751
97,-4.6246,1.93,0.1479,0.1162791,0.256264332,0.12195122,0.0,0.006,0.18,0.42,0.00118991
98,-4.6389,1.56,0.1479,0.1162791,0.225414806,0.12195122,0.0,0.006,0.163,0.42,0.001382688
99,-4.5938,1.79,0.1478,0.1162791,0.318843748,0.12195122,0.0,0.0,0.11,0.42,0.001537999
100,-4.7225,2.04,0.1473,0.1162791,0.369412018,0.12195122,0.0,0.003,0.131,0.42,0.001214522
101,-4.7665,1.75,0.1474,0.1162791,0.281501526,0.12195122,0.0,0.0,0.177,0.42,0.001409987
102,-4.5849,2.03,0.1475,0.1162791,0.223709412,0.12195122,0.0,0.0,0.14,0.42,0.001450343
