,energy_per_atom,O_concentration,C-O-H_C-sp1-H:mean_value,ether_concentration,H-O_coordination_number,O_n12_m2,prox_Ixx_ether_area,norm_density_ether_std,sp2-like_n11_m3,max_bond_angle
0,-44.34807093023256,0.1162791,107.24,0.12195122,0.42,0.015,3.214150574,0.033775772,0.009,125.2
1,-44.30101374269006,0.1140351,107.29,0.12345679,0.41,0.056,3.190674385,0.044448451,0.003,126.2
2,-44.330306104651164,0.1162791,107.24,0.12195122,0.42,0.044,2.307111134,0.040885608,0.012,129.05
3,-44.335490988372094,0.1162791,107.15,0.12195122,0.42,0.02,6.345917798,0.037057474,0.003,124.99
4,-44.30907470930233,0.1162791,107.09,0.12195122,0.42,0.02,4.859667642,0.03493635,0.0,124.27
5,-44.318709883720935,0.1162791,107.05,0.12195122,0.42,0.012,4.152053507,0.036424403,0.0,124.04
6,-44.313371802325584,0.1162791,107.42,0.12195122,0.42,0.02,2.183401455,0.037621504,0.015,125.05
7,-44.31957354651163,0.1162791,107.03,0.12195122,0.42,0.035,2.955124986,0.044947237,0.0,123.45
8,-44.32341162790698,0.1162791,106.99,0.12195122,0.42,0.023,2.992051682,0.039946283,0.006,125.62
9,-44.31889534883721,0.1162791,107.05,0.12195122,0.42,0.026,4.606354807,0.038917952,0.0,133.07
10,-44.32317296511628,0.1162791,107.26,0.12195122,0.42,0.047,2.764205436,0.042491935,0.012,125.17
11,-44.32954941860465,0.1162791,107.08,0.12195122,0.42,0.026,6.786491424,0.042969501,0.0,128.86
12,-44.32808546511628,0.1162791,107.34,0.12195122,0.42,0.044,3.778457083,0.041766048,0.003,124.72
13,-44.330515406976744,0.1162791,107.28,0.12195122,0.42,0.038,2.911456573,0.044572241,0.015,125.64
14,-44.330522093023255,0.1162791,107.23,0.12195122,0.42,0.044,0.577581934,0.044522214,0.02,133.46
15,-44.31758023255814,0.1162791,107.42,0.12195122,0.42,0.012,4.652193183,0.034825004,0.0,126.89
16,-44.315944767441856,0.1162791,107.09,0.12195122,0.42,0.006,5.140816316,0.032889793,0.0,124.79
17,-44.327880813953485,0.1162791,106.94,0.12195122,0.42,0.017,3.230985213,0.039193168,0.006,127.87
18,-44.32962005813954,0.1162791,107.55,0.12195122,0.42,0.038,3.537163095,0.04113832,0.003,128.18
19,-44.33821308139535,0.1162791,107.07,0.12195122,0.42,0.023,2.729752647,0.03845174,0.003,125.07
20,-44.33285261627907,0.1162791,107.05,0.12195122,0.42,0.049,1.367916493,0.040878187,0.009,124.88
21,-44.32326046511628,0.1162791,107.05,0.12195122,0.42,0.052,3.496383916,0.043597219,0.015,124.77
22,-44.32046220930233,0.1162791,107.32,0.12195122,0.42,0.017,4.110056002,0.036543991,0.003,124.49
23,-44.32973284883721,0.1162791,107.19,0.12195122,0.42,0.009,4.087234511,0.035369367,0.006,124.03
24,-44.32842296511628,0.1162791,107.24,0.12195122,0.42,0.067,2.141441394,0.046340165,0.026,124.51
25,-44.310176744186045,0.1162791,107.0,0.12195122,0.42,0.02,5.49499379,0.034705586,0.0,124.23
26,-44.33874011627907,0.1162791,107.39,0.12195122,0.42,0.041,4.653868534,0.042078438,0.0,132.09
27,-44.3214511627907,0.1162791,107.28,0.12195122,0.42,0.032,1.964615083,0.037217299,0.0,125.45
28,-44.33890552325582,0.1162791,107.32,0.12195122,0.42,0.029,3.049680894,0.037522984,0.003,124.9
29,-44.31181540697674,0.1162791,107.25,0.12195122,0.42,0.017,4.98948305,0.035519733,0.0,124.42
30,-44.33819389534884,0.1162791,107.38,0.12195122,0.42,0.035,3.199483252,0.038389834,0.006,123.91
31,-44.32091598837209,0.1162791,107.24,0.12195122,0.42,0.009,4.082635161,0.032207271,0.0,124.28
32,-44.32242180232558,0.1162791,106.99,0.12195122,0.42,0.017,3.693687925,0.036432638,0.0,125.77
33,-44.31950377906976,0.1162791,107.38,0.12195122,0.42,0.026,3.547024112,0.037117519,0.0,125.25
34,-44.3232601744186,0.1162791,107.36,0.12195122,0.42,0.023,2.492877561,0.03623262,0.006,133.85
35,-44.39478123167155,0.1143695,107.39,0.135802469,0.4,0.021,5.965866731,0.041883452,0.006,133.79
36,-44.33614011627907,0.1162791,107.37,0.12195122,0.42,0.023,2.724809657,0.035916104,0.0,129.74
37,-44.3395113372093,0.1162791,107.3,0.12195122,0.42,0.02,4.468440058,0.035609832,0.015,132.73
38,-44.341840697674414,0.1162791,107.27,0.12195122,0.42,0.041,3.223031761,0.045003795,0.006,132.95
39,-44.32597529069768,0.1162791,107.09,0.12195122,0.42,0.012,4.883262625,0.033606044,0.0,124.02
40,-44.328569476744185,0.1162791,106.98,0.12195122,0.42,0.009,4.169841564,0.035010232,0.003,130.82
41,-44.334000581395344,0.1162791,107.37,0.12195122,0.42,0.038,2.651310295,0.044674601,0.0,129.53
42,-44.31764127906977,0.1162791,107.16,0.12195122,0.42,0.003,5.245872315,0.032914856,0.0,134.47
43,-44.334475290697675,0.1162791,107.24,0.12195122,0.42,0.032,5.610984936,0.04226163,0.026,126.62
44,-44.334105523255815,0.1162791,107.38,0.12195122,0.42,0.049,5.731165773,0.045307571,0.009,125.7
45,-44.39249765395895,0.1143695,107.13,0.135802469,0.4,0.076,2.724040424,0.047820514,0.009,132.33
46,-44.320237790697675,0.1162791,107.04,0.12195122,0.42,0.038,3.610905326,0.040090732,0.0,125.98
47,-44.32900436046511,0.1162791,106.87,0.12195122,0.42,0.038,3.227770481,0.040646543,0.0,131.64
48,-44.33493662790698,0.1162791,107.24,0.12195122,0.42,0.02,2.258459071,0.034894991,0.006,133.54
49,-44.33452034883721,0.1162791,107.42,0.12195122,0.42,0.047,3.454211996,0.04168616,0.017,124.65
50,-44.32454854651163,0.1162791,107.31,0.12195122,0.42,0.02,4.264825739,0.037094609,0.006,123.88
51,-44.33130901162791,0.1162791,107.33,0.12195122,0.42,0.032,1.781209184,0.040759396,0.009,124.78
52,-44.31744505813953,0.1162791,107.54,0.12195122,0.42,0.012,7.633897127,0.034506334,0.006,124.82
53,-44.32314593023256,0.1162791,107.38,0.12195122,0.42,0.026,4.583033565,0.037824448,0.02,124.86
54,-44.334369476744186,0.1162791,107.21,0.12195122,0.42,0.023,4.984507241,0.03808989,0.0,124.7
55,-44.38090909090909,0.1143695,107.22,0.135802469,0.4,0.029,4.517916721,0.037842346,0.003,127.63
56,-44.32475959302326,0.1162791,107.38,0.12195122,0.42,0.029,3.757791354,0.037900249,0.009,124.86
57,-44.320276744186046,0.1162791,107.2,0.12195122,0.42,0.023,3.014677813,0.035545028,0.0,127.81
58,-44.327200290697675,0.1162791,107.36,0.12195122,0.42,0.02,5.929777333,0.037930222,0.0,127.99
59,-44.311833430232554,0.1162791,107.14,0.12195122,0.42,0.017,2.917039141,0.036926274,0.009,125.78
60,-44.32509302325582,0.1162791,107.03,0.12195122,0.42,0.009,3.233962412,0.035128003,0.0,124.75
61,-44.33159680232558,0.1162791,107.09,0.12195122,0.42,0.006,4.048970461,0.034204787,0.0,123.95
62,-44.31236017441861,0.1162791,107.05,0.12195122,0.42,0.032,3.55907853,0.041855526,0.012,129.34
63,-44.33566656976745,0.1162791,107.59,0.12195122,0.42,0.015,4.338562462,0.038085589,0.0,126.43
64,-44.318632558139534,0.1162791,107.17,0.12195122,0.42,0.044,5.517879165,0.041773564,0.023,125.58
65,-44.31789622093023,0.1162791,107.09,0.12195122,0.42,0.006,6.037641366,0.038042462,0.003,135.24
66,-44.325233720930235,0.1162791,107.28,0.12195122,0.42,0.023,3.817308271,0.034304459,0.009,126.39
67,-44.33199476744186,0.1162791,107.01,0.12195122,0.42,0.038,3.196126504,0.038968204,0.0,130.99
68,-44.33219011627907,0.1162791,107.28,0.12195122,0.42,0.035,4.474944944,0.041461573,0.006,130.29
69,-44.31829534883721,0.1162791,106.92,0.12195122,0.42,0.012,4.377843966,0.032265942,0.0,126.77
70,-44.325027034883725,0.1162791,107.22,0.12195122,0.42,0.009,5.870465153,0.032749325,0.0,126.98
71,-44.331617151162796,0.1162791,107.28,0.12195122,0.42,0.015,2.648796865,0.036828001,0.006,132.74
72,-44.32927645348837,0.1162791,107.36,0.12195122,0.42,0.015,3.810961381,0.033346133,0.009,128.12
73,-44.32112151162791,0.1162791,107.28,0.12195122,0.42,0.032,4.656835923,0.039769097,0.015,128.2
74,-44.32994011627907,0.1162791,107.37,0.12195122,0.42,0.032,4.629538613,0.040518033,0.006,132.42
75,-44.313417441860466,0.1162791,107.24,0.12195122,0.42,0.035,2.881814697,0.037625995,0.0,131.43
76,-44.321921220930236,0.1162791,107.14,0.12195122,0.42,0.049,1.233900753,0.041935175,0.003,128.9
77,-44.32479186046512,0.1162791,107.33,0.12195122,0.42,0.035,4.662047051,0.044762152,0.0,133.2
78,-44.31291046511628,0.1162791,107.01,0.12195122,0.42,0.047,4.057778769,0.040057639,0.009,123.76
79,-44.3323375,0.1162791,107.23,0.12195122,0.42,0.02,3.420956096,0.034381403,0.015,124.39
80,-44.33001308139535,0.1162791,107.22,0.12195122,0.42,0.023,5.13079924,0.036699429,0.0,125.01
81,-44.32772994186047,0.1162791,107.04,0.12195122,0.42,0.009,5.606942737,0.033146015,0.0,125.08
82,-44.31585174418605,0.1162791,107.03,0.12195122,0.42,0.006,3.571162314,0.03204001,0.0,124.1
83,-44.32280988372093,0.1162791,107.05,0.12195122,0.42,0.032,1.784811066,0.038519323,0.026,123.48
